date,ticker,close
2026-03-06,458730,14620
2026-03-06,490600,9395
2026-03-09,402970,14790
2026-03-09,441640,12810
2026-03-09,458730,14540
2026-03-09,490600,9310
2026-03-10,402970,14695
2026-03-10,441640,12875
2026-03-10,458730,14465
2026-03-10,490600,9290
2026-03-11,402970,14645
2026-03-11,441640,12950
2026-03-11,458730,14390
2026-03-11,490600,9255
2026-03-12,402970,14650
2026-03-12,441640,12785
2026-03-12,458730,14425
2026-03-12,490600,9295
2026-03-13,402970,14790
2026-03-13,441640,12835
2026-03-13,458730,14600
2026-03-13,490600,9330
2026-03-16,402970,14890
2026-03-16,441640,12860
2026-03-16,458730,14680
2026-03-16,490600,9400
2026-03-17,402970,14760
2026-03-17,441640,12795
2026-03-17,458730,14570
2026-03-17,490600,9400
2026-03-18,402970,14820
2026-03-18,441640,12845
2026-03-18,458730,14590
2026-03-18,490600,9390
2026-03-19,402970,14740
2026-03-19,441640,12740
2026-03-19,458730,14545
2026-03-19,490600,9340
2026-03-20,402970,14755
2026-03-20,441640,12685
2026-03-20,458730,14560
2026-03-20,490600,9385
2026-03-23,402970,14710
2026-03-23,441640,12575
2026-03-23,458730,14510
2026-03-23,490600,9320
2026-03-24,402970,14665
2026-03-24,441640,12610
2026-03-24,458730,14500
2026-03-24,490600,9380
2026-03-25,402970,14835
2026-03-25,441640,12770
2026-03-25,458730,14585
2026-03-25,490600,9440
2026-03-26,402970,14860
2026-03-26,441640,12735
2026-03-26,458730,14600
2026-03-26,490600,9460
2026-03-27,402970,15020
2026-03-27,441640,12760
2026-03-27,458730,14780
2026-03-27,490600,9545
2026-03-30,402970,14960
2026-03-30,441640,12630
2026-03-30,458730,14700
2026-03-30,490600,9410
2026-03-31,402970,15210
2026-03-31,441640,12765
2026-03-31,458730,14910
2026-03-31,490600,9545
2026-04-01,402970,14995
2026-04-01,441640,12800
2026-04-01,458730,14735
2026-04-01,490600,9400
2026-04-02,402970,14880
2026-04-02,441640,12745
2026-04-02,458730,14630
2026-04-02,490600,9345
2026-04-03,402970,14895
2026-04-03,441640,12795
2026-04-03,458730,14620
2026-04-03,490600,9370
2026-04-06,402970,14890
2026-04-06,441640,12840
2026-04-06,458730,14640
2026-04-06,490600,9310
2026-04-07,402970,14935
2026-04-07,441640,12820
2026-04-07,458730,14625
2026-04-07,490600,9355
2026-04-08,402970,14780
2026-04-08,441640,12915
2026-04-08,458730,14500
2026-04-08,490600,9330
2026-04-09,402970,14815
2026-04-09,441640,12920
2026-04-09,458730,14545
2026-04-09,490600,9345
2026-04-10,402970,14825
2026-04-10,441640,12925
2026-04-10,458730,14565
2026-04-10,490600,9355
2026-04-13,402970,14735
2026-04-13,441640,12945
2026-04-13,458730,14480
2026-04-13,490600,9340
2026-04-14,402970,14720
2026-04-14,441640,12835
2026-04-14,458730,14495
2026-04-14,490600,9220
2026-04-15,402970,14630
2026-04-15,441640,12845
2026-04-15,458730,14405
2026-04-15,490600,9140
2026-04-16,402970,14615
2026-04-16,441640,12840
2026-04-16,458730,14385
2026-04-16,490600,9120
2026-04-17,402970,14765
2026-04-17,441640,12920
2026-04-17,458730,14525
2026-04-17,490600,9190
2026-04-20,402970,14755
2026-04-20,441640,12920
2026-04-20,458730,14530
2026-04-20,490600,9190
2026-04-21,402970,14730
2026-04-21,441640,13000
2026-04-21,458730,14510
2026-04-21,490600,9210
2026-04-22,402970,14800
2026-04-22,441640,12965
2026-04-22,458730,14600
2026-04-22,490600,9255
2026-04-23,402970,14855
2026-04-23,441640,12940
2026-04-23,458730,14630
