etf_id,ticker,period,as_of_date,target_start_date,actual_start_date,actual_end_date,total_return_pct,net_total_return_pct,return_basis,calculation_status,distribution_event_count,blocking_event_ids,price_observation_count,calculation_version,calculated_at
KR70005A0007,0005A0,6m,2026-09-01,2026-03-01,2026-02-27,2026-09-01,5.756131,5.756131,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,126,1,2026-09-01T10:50:08+09:00
KR70005A0007,0005A0,1y,2026-09-01,2025-09-01,2025-09-01,2026-09-01,16.949153,16.949153,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,244,1,2026-09-01T10:50:08+09:00
KR70005A0007,0005A0,2y,2026-09-01,2024-09-01,,2026-09-01,,,market_price_tr_pre_tax_ex_date_reinvested,insufficient_price_history,0,,0,1,2026-09-01T10:50:08+09:00
KR70005A0007,0005A0,3y,2026-09-01,2023-09-01,,2026-09-01,,,market_price_tr_pre_tax_ex_date_reinvested,insufficient_price_history,0,,0,1,2026-09-01T10:50:08+09:00
KR70005A0007,0005A0,ytd,2026-09-01,2025-12-31,2025-12-30,2026-09-01,4.910463,4.910463,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,164,1,2026-09-01T10:50:08+09:00
KR70005C0005,0005C0,1d,2026-09-01,2026-08-31,2026-08-31,2026-09-01,-0.267023,-0.267023,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,2,1,2026-09-01T10:50:08+09:00
KR70005C0005,0005C0,1w,2026-09-01,2026-08-25,2026-08-25,2026-09-01,0.044643,0.044643,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,6,1,2026-09-01T10:50:08+09:00
KR70005C0005,0005C0,2w,2026-09-01,2026-08-18,2026-08-18,2026-09-01,-2.395470,-2.395470,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,11,1,2026-09-01T10:50:08+09:00
KR70005C0005,0005C0,1m,2026-09-01,2026-08-01,2026-07-31,2026-09-01,-0.000000,-0.000000,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,22,1,2026-09-01T10:50:08+09:00
KR70005C0005,0005C0,2m,2026-09-01,2026-07-01,2026-07-01,2026-09-01,-6.857855,-6.857855,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,43,1,2026-09-01T10:50:08+09:00
KR70005C0005,0005C0,3m,2026-09-01,2026-06-01,2026-06-01,2026-09-01,-8.004926,-8.004926,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,64,1,2026-09-01T10:50:08+09:00
KR70005C0005,0005C0,6m,2026-09-01,2026-03-01,2026-02-27,2026-09-01,2.987132,2.987132,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,126,1,2026-09-01T10:50:08+09:00
KR70005C0005,0005C0,1y,2026-09-01,2025-09-01,2025-09-01,2026-09-01,4.612081,4.612081,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,244,1,2026-09-01T10:50:08+09:00
KR70005C0005,0005C0,2y,2026-09-01,2024-09-01,,2026-09-01,,,market_price_tr_pre_tax_ex_date_reinvested,insufficient_price_history,0,,0,1,2026-09-01T10:50:08+09:00
KR70005C0005,0005C0,3y,2026-09-01,2023-09-01,,2026-09-01,,,market_price_tr_pre_tax_ex_date_reinvested,insufficient_price_history,0,,0,1,2026-09-01T10:50:08+09:00
KR70005C0005,0005C0,ytd,2026-09-01,2025-12-31,2025-12-30,2026-09-01,2.235401,2.235401,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,164,1,2026-09-01T10:50:08+09:00
KR70005D0004,0005D0,1d,2026-09-01,2026-08-31,2026-08-31,2026-09-01,-2.575517,-2.575517,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,2,1,2026-09-01T10:50:08+09:00
KR70005D0004,0005D0,1w,2026-09-01,2026-08-25,2026-08-25,2026-09-01,7.508772,7.508772,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,6,1,2026-09-01T10:50:08+09:00
KR70005D0004,0005D0,2w,2026-09-01,2026-08-18,2026-08-18,2026-09-01,10.295176,10.295176,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,11,1,2026-09-01T10:50:08+09:00
KR70005D0004,0005D0,1m,2026-09-01,2026-08-01,2026-07-31,2026-09-01,28.415759,28.415759,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,22,1,2026-09-01T10:50:08+09:00
KR70005D0004,0005D0,2m,2026-09-01,2026-07-01,2026-07-01,2026-09-01,-2.976567,-2.976567,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,43,1,2026-09-01T10:50:08+09:00
KR70005D0004,0005D0,3m,2026-09-01,2026-06-01,2026-06-01,2026-09-01,-30.395275,-30.395275,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,64,1,2026-09-01T10:50:08+09:00
KR70005D0004,0005D0,6m,2026-09-01,2026-03-01,2026-02-27,2026-09-01,-25.377496,-25.377496,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,126,1,2026-09-01T10:50:08+09:00
KR70005D0004,0005D0,1y,2026-09-01,2025-09-01,2025-09-01,2026-09-01,49.594766,49.594766,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,244,1,2026-09-01T10:50:08+09:00
KR70005D0004,0005D0,2y,2026-09-01,2024-09-01,,2026-09-01,,,market_price_tr_pre_tax_ex_date_reinvested,insufficient_price_history,0,,0,1,2026-09-01T10:50:08+09:00
KR70005D0004,0005D0,3y,2026-09-01,2023-09-01,,2026-09-01,,,market_price_tr_pre_tax_ex_date_reinvested,insufficient_price_history,0,,0,1,2026-09-01T10:50:08+09:00
KR70005D0004,0005D0,ytd,2026-09-01,2025-12-31,2025-12-30,2026-09-01,22.169059,22.169059,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,164,1,2026-09-01T10:50:08+09:00
KR70005G0001,0005G0,1d,2026-09-01,2026-08-31,2026-08-31,2026-09-01,-2.029014,-2.029014,market_price_tr_pre_tax_ex_date_reinvested,calculated,0,,2,1,2026-09-01T10:50:08+09:00
