ticker,master_isin,ledger_isin,listing_date,listing_date_status,result
0220B0,KR70220B0005,KR70220B0005,2026-07-14,verified_official,synced
0221V0,KR70221V0000,KR70221V0000,2026-07-21,verified_official,synced
0221Z0,KR70221Z0006,KR70221Z0006,2026-07-21,verified_official,synced
0222D0,KR70222D0001,KR70222D0001,2026-07-28,verified_official,synced
0222F0,KR70222F0009,KR70222F0009,2026-08-04,verified_official,synced
0223A0,KR70223A0003,KR70223A0003,2026-07-28,verified_official,synced
0223R0,KR70223R0004,KR70223R0004,2026-07-21,verified_official,synced
0224D0,KR70224D0009,KR70224D0009,2026-07-28,verified_official,synced
0224X0,KR70224X0005,KR70224X0005,2026-07-28,verified_official,synced
0225V0,KR70225V0006,KR70225V0006,2026-08-04,verified_official,synced
0226A0,KR70226A0000,KR70226A0000,2026-08-04,verified_official,synced
0226D0,KR70226D0007,KR70226D0007,2026-08-11,verified_official,synced
0226G0,KR70226G0004,KR70226G0004,2026-08-04,verified_official,synced
0227K0,KR70227K0007,KR70227K0007,2026-08-11,verified_official,synced
0228G0,KR70228G0002,KR70228G0002,2026-08-11,verified_official,synced
0229F0,KR70229F0002,KR70229F0002,2026-09-01,verified_official,synced
0231Z0,KR70231Z0004,KR70231Z0004,2026-08-25,verified_official,synced
0232A0,KR70232A0002,KR70232A0002,2026-09-01,verified_official,synced
0233A0,KR70233A0001,KR70233A0001,2026-08-25,verified_official,synced
0233J0,KR70233J0002,KR70233J0002,2026-08-25,verified_official,synced
0233N0,KR70233N0006,KR70233N0006,2026-09-01,verified_official,synced
0234N0,KR70234N0005,KR70234N0005,2026-09-01,verified_official,synced
