ticker,master_isin,ledger_isin,listing_date,listing_date_status,result
0144L0,KR70144L0006,KR70144L0006,2025-12-23,verified_official,synced
0144M0,KR70144M0005,KR70144M0005,2025-12-23,verified_official,synced
0148J0,KR70148J0006,KR70148J0006,2026-01-06,verified_official,synced
0150K0,KR70150K0008,KR70150K0008,2026-01-13,verified_official,synced
0151P0,KR70151P0002,KR70151P0002,2026-01-20,verified_official,synced
0151S0,KR70151S0009,KR70151S0009,2026-01-13,verified_official,synced
0152E0,KR70152E0004,KR70152E0004,2026-01-13,verified_official,synced
0153K0,KR70153K0005,KR70153K0005,2026-01-20,verified_official,synced
0153P0,KR70153P0000,KR70153P0000,2026-01-20,verified_official,synced
0153X0,KR70153X0000,KR70153X0000,2026-01-27,verified_official,synced
0154F0,KR70154F0001,KR70154F0001,2026-01-20,verified_official,synced
0154H0,KR70154H0009,KR70154H0009,2026-01-27,verified_official,synced
0155M0,KR70155M0001,KR70155M0001,2026-02-03,verified_official,synced
0155N0,KR70155N0000,KR70155N0000,2026-02-26,verified_official,synced
0162L0,KR70162L0003,KR70162L0003,2026-02-26,verified_official,synced
0162M0,KR70162M0002,KR70162M0002,2026-02-26,verified_official,synced
0162Y0,KR70162Y0008,KR70162Y0008,2026-03-10,verified_official,synced
0162Z0,KR70162Z0007,KR70162Z0007,2026-02-26,verified_official,synced
0163Y0,KR70163Y0007,KR70163Y0007,2026-03-10,verified_official,synced
0164G0,KR70164G0008,KR70164G0008,2026-03-10,verified_official,synced
0166N0,KR70166N0007,KR70166N0007,2026-03-17,verified_official,synced
0166S0,KR70166S0002,KR70166S0002,2026-03-24,verified_official,synced
0166T0,KR70166T0001,KR70166T0001,2026-03-31,verified_official,synced
0167A0,KR70167A0001,KR70167A0001,2026-03-17,verified_official,synced
0167B0,KR70167B0000,KR70167B0000,2026-03-17,verified_official,synced
0167Z0,KR70167Z0002,KR70167Z0002,2026-03-17,verified_official,synced
0168K0,KR70168K0008,KR70168K0008,2026-03-17,verified_official,synced
0172V0,KR70172V0009,KR70172V0009,2026-03-31,verified_official,synced
0172Y0,KR70172Y0006,KR70172Y0006,2026-03-31,verified_official,synced
0173Y0,KR70173Y0005,KR70173Y0005,2026-03-31,verified_official,synced
0174B0,KR70174B0001,KR70174B0001,2026-04-14,verified_official,synced
0174J0,KR70174J0003,KR70174J0003,2026-03-31,verified_official,synced
0174R0,KR70174R0003,KR70174R0003,2026-03-31,verified_official,synced
0176E0,KR70176E0006,KR70176E0006,2026-04-07,verified_official,synced
0176P0,KR70176P0003,KR70176P0003,2026-04-07,verified_official,synced
