isin_cd,ticker,name,base_index,asset_family,region_primary,comparison_category,comparison_topic,comparison_subtopic,index_family,strategy_style,payoff_structure,direction,leverage_multiple,fx_hedge,replication_method,concentration_bucket,primary_peer_group_id,alternate_peer_group_ids,classification_status,evidence_basis,official_source_url,review_reason
KR7285690004,285690,FOCUS ESG리더스,KRX ESG Leaders 150,주식,국내,기타특수구조,미확인 주식전략,국내 미확인 주식전략,미확인-주식전략-국내-미확인-주식전략-46eed209b8,plain,plain,neutral,1X,unknown,physical_or_unspecified,unknown,PG-PENDING-285690-ade49e361c,,needs_review,기초지수 명시; 자산군·투자대상 추출(주식/국내 미확인 주식전략),,직접 비교에 필요한 주식 전략·투자대상 미확인; 세부 투자대상 또는 만기·구성비율 미확인
KR7289040008,289040,KODEX MSCI KOREA ESG유니버설,MSCI Korea ESG Universal Capped Index,주식,국내,기타특수구조,미확인 주식전략,국내 미확인 주식전략,미확인-주식전략-국내-미확인-주식전략-46eed209b8,plain,plain,neutral,1X,unknown,physical_or_unspecified,unknown,PG-PENDING-289040-3f13cde315,,needs_review,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 미확인 주식전략),가능,직접 비교에 필요한 주식 전략·투자대상 미확인; 세부 투자대상 또는 만기·구성비율 미확인
KR7289250003,289250,TIGER MSCI KOREA ESG유니버설,MSCI Korea ESG Universal Index,주식,국내,기타특수구조,미확인 주식전략,국내 미확인 주식전략,미확인-주식전략-국내-미확인-주식전략-46eed209b8,plain,plain,neutral,1X,unknown,physical_or_unspecified,unknown,PG-PENDING-289250-b0144557b3,,needs_review,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 미확인 주식전략),가능,직접 비교에 필요한 주식 전략·투자대상 미확인; 세부 투자대상 또는 만기·구성비율 미확인
KR7289260002,289260,TIGER MSCI KOREA ESG리더스,MSCI Korea Country ESG Leaders Capped Index,주식,국내,기타특수구조,미확인 주식전략,국내 미확인 주식전략,미확인-주식전략-국내-미확인-주식전략-46eed209b8,plain,plain,neutral,1X,unknown,physical_or_unspecified,unknown,PG-PENDING-289260-ab88791efa,,needs_review,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 미확인 주식전략),가능,직접 비교에 필요한 주식 전략·투자대상 미확인; 세부 투자대상 또는 만기·구성비율 미확인
KR7289480006,289480,TIGER 200커버드콜,코스피 200 커버드콜 ATM 지수,주식,국내,기타특수구조,미확인 주식전략,국내 미확인 주식전략,미확인-주식전략-국내-미확인-주식전략-46eed209b8,covered_call,covered_call,neutral,1X,unknown,physical_or_unspecified,broad,PG-PENDING-289480-83d19f8d0f,,needs_review,기초지수 명시; 운용사·공식 출처 URL 존재; 상품명 구조표시(covered_call); 자산군·투자대상 추출(주식/국내 미확인 주식전략),가능,직접 비교에 필요한 주식 전략·투자대상 미확인; 세부 투자대상 또는 만기·구성비율 미확인
KR7289670002,289670,PLUS 국채선물10년,10년국채선물지수,채권,국내,채권,채권,국내 국채 장기 등급미확인,BOND_국내-국채-장기-등급미확인-46cc7d575b,plain,bond_coupon,neutral,1X,unknown,physical_or_unspecified,unknown,PG-PENDING-289670-a6f6c7a1d4,,needs_review,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(채권/국내 국채 장기 등급미확인),불가,세부 투자대상 또는 만기·구성비율 미확인
KR7290130004,290130,RISE ESG사회책임투자,KRX ESG 사회책임경영지수(S),주식,국내,기타특수구조,미확인 주식전략,국내 미확인 주식전략,미확인-주식전략-국내-미확인-주식전략-46eed209b8,plain,plain,neutral,1X,unknown,physical_or_unspecified,unknown,PG-PENDING-290130-771d61931d,,needs_review,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 미확인 주식전략),가능,직접 비교에 필요한 주식 전략·투자대상 미확인; 세부 투자대상 또는 만기·구성비율 미확인
KR7291130003,291130,ACE MSCI멕시코(합성),MSCI MEXICO IMI 25/50 Price return Index,주식,기타국가,기타특수구조,미확인 주식전략,기타국가 미확인 주식전략,미확인-주식전략-기타국가-미확인-주식전략-cd16f2b14c,plain,plain,neutral,1X,unhedged,synthetic,unknown,PG-PENDING-291130-686a96704c,,needs_review,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/기타국가 미확인 주식전략),가능,직접 비교에 필요한 주식 전략·투자대상 미확인; 세부 투자대상 또는 만기·구성비율 미확인
KR7291620003,291620,KIWOOM 코스닥150선물인버스,F-코스닥150 지수,주식,국내,기타특수구조,미확인 주식전략,국내 미확인 주식전략,미확인-주식전략-국내-미확인-주식전략-46eed209b8,inverse,inverse,short,1X,unknown,physical_or_unspecified,unknown,PG-PENDING-291620-30ab1d1995,,needs_review,기초지수 명시; 운용사·공식 출처 URL 존재; 상품명 구조표시(inverse); 자산군·투자대상 추출(주식/국내 미확인 주식전략),불가,직접 비교에 필요한 주식 전략·투자대상 미확인; 세부 투자대상 또는 만기·구성비율 미확인
KR7291630002,291630,KIWOOM 코스닥150선물레버리지,F-코스닥150 지수,주식,국내,기타특수구조,미확인 주식전략,국내 미확인 주식전략,미확인-주식전략-국내-미확인-주식전략-46eed209b8,leveraged,leveraged,long,2X,unknown,physical_or_unspecified,unknown,PG-PENDING-291630-c448a94915,,needs_review,기초지수 명시; 운용사·공식 출처 URL 존재; 상품명 구조표시(leveraged); 자산군·투자대상 추출(주식/국내 미확인 주식전략),불가,직접 비교에 필요한 주식 전략·투자대상 미확인; 세부 투자대상 또는 만기·구성비율 미확인
