normalized_index_family,alias,index_family,canonical_category,canonical_topic,source_type
KEDI-K수출핵심기업TOP30-지수-PR-37dcd495ea,KEDI K수출핵심기업TOP30 지수(PR),KEDI-K수출핵심기업TOP30-지수-PR-37dcd495ea,일반주식,지수기반,normalized_master
KEDI-미국로보택시-지수-PR-d211ee6af7,KEDI 미국로보택시 지수(PR),KEDI-미국로보택시-지수-PR-d211ee6af7,일반주식,지수기반,normalized_master
BLOOMBERG-BYD-PLUS-TOP-SUPPLY-CHAIN-SELECT-P-a0f19d3a69,Bloomberg BYD Plus Top Supply Chain Select Price Return Index,BLOOMBERG-BYD-PLUS-TOP-SUPPLY-CHAIN-SELECT-P-a0f19d3a69,일반주식,지수기반,normalized_master
ISELECT-방산-TOP10-지수-PRICE-RETURN-2f1d08beb6,iSelect 방산 TOP10 지수(Price Return),ISELECT-방산-TOP10-지수-PRICE-RETURN-2f1d08beb6,일반주식,지수기반,normalized_master
SP500,S&P 500 and iBoxx $ Treasuries 7-10Y 5050 Blend Index(USD) PR/TR Hybrid,SP500,혼합자산,자산배분,normalized_master
FNGUIDE-조선TOP3플러스지수-PR-1d22e0639a,FnGuide 조선TOP3플러스지수(PR),FNGUIDE-조선TOP3플러스지수-PR-1d22e0639a,일반주식,지수기반,normalized_master
STOXX-유럽-방산-지수-e2ca13d7bb,Stoxx 유럽 방산 지수,STOXX-유럽-방산-지수-e2ca13d7bb,일반주식,지수기반,normalized_master
SAMSUNG-KOREA-TARGET-DATE-2060-INDEX-551967c02c,Samsung Korea Target Date 2060 Index,SAMSUNG-KOREA-TARGET-DATE-2060-INDEX-551967c02c,혼합자산,자산배분,normalized_master
KEDI-미국메디컬AI-지수-f657600563,KEDI 미국메디컬AI 지수,KEDI-미국메디컬AI-지수-f657600563,일반주식,지수기반,normalized_master
AKROS-미국테크100-월간방어적배분-지수-TR-e1b1651e5c,Akros 미국테크100 월간방어적배분 지수(TR),AKROS-미국테크100-월간방어적배분-지수-TR-e1b1651e5c,일반주식,지수기반,normalized_master
AKROS-미국대형주500-월간방어적배분-지수-TR-142e7a6413,Akros 미국대형주500 월간방어적배분 지수(TR),AKROS-미국대형주500-월간방어적배분-지수-TR-142e7a6413,규모,규모주,normalized_master
ICE-U-S-TREASURY-7-10-YEAR-BOND-INDEX-TOTAL--8d7fd72d0c,ICE U.S. Treasury 7-10 Year Bond Index (Total Return),ICE-U-S-TREASURY-7-10-YEAR-BOND-INDEX-TOTAL--8d7fd72d0c,채권,미국 국채/중기/not_applicable,normalized_master
ICE-U-S-TREASURY-7-10-YEAR-BOND-INDEX-TOTAL--8d7fd72d0c,ICE U.S. Treasury 7-10 Year Bond Index (Total Return),ICE-U-S-TREASURY-7-10-YEAR-BOND-INDEX-TOTAL--8d7fd72d0c,채권,미국 국채/중기/not_applicable,normalized_master
KEDI-리츠부동산인프라TOP10지수-PRICE-RETURN-381d886bb1,KEDI 리츠부동산인프라TOP10지수 (Price Return),KEDI-리츠부동산인프라TOP10지수-PRICE-RETURN-381d886bb1,일반주식,지수기반,normalized_master
