ticker,standard_code,fund_name,fund_type,base_date,issuer
0085N0,K55101EL9174,한국투자ACE미국10년국채액티브증권상장지수투자신탁[채권](H),채권형,20250718,한국투자신탁운용
0085P0,K55101EL9166,한국투자ACE미국10년국채액티브증권상장지수투자신탁(채권),채권형,20250718,한국투자신탁운용
0086B0,K55301EL4868,미래에셋TIGER리츠부동산인프라TOP10액티브부동산상장지수투자신탁(재간접형),부동산,20250728,미래에셋자산운용
0087F0,K55101EM0842,한국투자ACE차이나AI빅테크TOP2+액티브증권상장지수투자신탁(주식),주식형,20250725,한국투자신탁운용
0088N0,K55107EN0027,우리WONK-글로벌수급상위증권상장지수투자신탁(주식),주식형,20250811,우리자산운용
0089B0,K55213EM5556,한화PLUS미국나스닥100미국채혼합50증권상장지수투자신탁(채권혼합),혼합채권형,20250814,한화자산운용
0089C0,K55105EH3997,삼성KODEX미국S&amp;P500변동성확대시커버드콜증권상장지수투자신탁[주식-파생형],주식파생형,20250808,삼성자산운용
0089D0,K55105EM2703,삼성KODEX금융고배당TOP10증권상장지수투자신탁[주식],주식형,20250811,삼성자산운용
0090B0,K55213EM5713,한화PLUSK방산소부장증권상장지수투자신탁(주식),주식형,20250825,한화자산운용
0091C0,K55105EM2711,삼성KODEX미국10년국채액티브증권상장지수투자신탁[채권-재간접형](H),재간접형,20250814,삼성자산운용
0091M0,K55232EN3029,NH-AmundiHANARO27-06회사채(AA-이상)액티브증권상장지수투자신탁(채권),채권형,20250825,엔에이치아문디자산운용
0091P0,K55301EM4685,미래에셋TIGER코리아원자력증권상장지수투자신탁(주식),주식형,20250818,미래에셋자산운용
0092B0,K55210EM3158,신한SOL한국원자력SMR증권상장지수투자신탁[주식],주식형,20250818,신한자산운용
0092C0,K55210EM3463,신한SOL27-12회사채(AA-이상)액티브증권상장지수투자신탁[채권],채권형,20250818,신한자산운용
0093A0,K55223EM4862,KBRISEAI반도체TOP10증권상장지수투자신탁(주식),주식형,20250825,케이비자산운용
0093B0,K55223EM3724,KBRISE엔비디아고정테크100증권상장지수투자신탁(주식),주식형,20250822,케이비자산운용
0093D0,K553N9EF9815,삼성액티브KoAct팔란티어밸류체인액티브증권상장지수투자신탁[주식],주식형,20250822,삼성액티브자산운용
0094K0,K55301EM5013,미래에셋TIGER28-04회사채(A+이상)액티브증권상장지수투자신탁(채권),채권형,20250822,미래에셋자산운용
0094L0,K55223EL4301,KBRISE차이나테크TOP10위클리타겟커버드콜증권상장지수투자신탁(주식-파생형),주식파생형,20250829,케이비자산운용
0094M0,K55223EM9762,KBRISE코리아밸류업위클리고정커버드콜증권상장지수투자신탁(주식-파생형),주식파생형,20250901,케이비자산운용
0094X0,K55102EN6979,하나1Q샤오미밸류체인액티브증권상장지수투자신탁[주식],주식형,20250829,하나자산운용
0097L0,K55206EN5646,키움KIWOOM한국고배당&amp;미국AI테크증권상장지수투자신탁[주식],주식형,20250829,키움투자자산운용
0098F0,K55105EN0391,삼성KODEX원자력SMR증권상장지수투자신탁[주식],주식형,20250915,삼성자산운용
0098N0,K55213EM9962,한화PLUS자사주매입고배당주증권상장지수투자신탁(주식),주식형,20250915,한화자산운용
0098Z0,K55104EN5177,브이아이FOCUS200증권상장지수투자신탁[주식],주식형,20250922,브이아이자산운용
0099L0,K55101EN6525,한국투자ACE우량회사채(AA-이상)액티브증권상장지수투자신탁(채권),채권형,20250908,한국투자신탁운용
0100K0,K55105EN0383,삼성KODEX방산TOP10레버리지증권상장지수투자신탁[주식-파생형],주식파생형,20250915,삼성자산운용
0101N0,K55223EN7310,KBRISEAI전력인프라증권상장지수투자신탁(주식),주식형,20250922,케이비자산운용
0102A0,K55301EM5526,미래에셋TIGER미국AI소프트웨어TOP4Plus증권상장지수투자신탁(주식),주식형,20250905,미래에셋자산운용
0102X0,K55101EN6293,한국투자ACE유럽방산TOP10증권상장지수투자신탁(주식),주식형,20250919,한국투자신탁운용
0103T0,K55102EN9924,하나1QK소버린AI증권상장지수투자신탁[주식],주식형,20250929,하나자산운용
0104G0,K55213EO3567,한화PLUSK방산레버리지증권상장지수투자신탁(주식-파생형),주식파생형,20250929,한화자산운용
0104H0,K553N9EG1423,삼성액티브KoAct미국나스닥채권혼합50액티브증권상장지수투자신탁[채권혼합],혼합채권형,20250926,삼성액티브자산운용
