isin_cd,ticker,name,base_index,asset_family,region_primary,comparison_category,comparison_topic,comparison_subtopic,index_family,strategy_style,payoff_structure,direction,leverage_multiple,fx_hedge,replication_method,concentration_bucket,primary_peer_group_id,alternate_peer_group_ids,classification_status,evidence_basis,official_source_url,review_reason
KR7396510000,396510,TIGER 차이나클린에너지SOLACTIVE,Solactive China Clean Energy 지수(PR),주식,중국,산업·섹터,글로벌 신재생에너지,중국 에너지·신재생에너지,에너지-신재생에너지-중국-에너지-신재생에너지-2e82598ef8,active,plain,neutral,1X,unhedged,active,unknown,PG-주식-중국-산업-섹터-에너지-신재생에너지-중국-에너지-신재생에너지-dd46ead895,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/중국 에너지·신재생에너지),가능,
KR7396520009,396520,TIGER 차이나반도체FACTSET,FactSet China Semiconductor 지수(PR),주식,중국,산업·섹터,글로벌 AI 반도체,중국 반도체,반도체-중국-반도체-ec542f3fb2,passive,plain,neutral,1X,unhedged,physical_or_unspecified,unknown,PG-주식-중국-산업-섹터-반도체-중국-반도체-반도체-중국-반도체-EC-73a48444f9,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/중국 반도체),가능,
KR7399110006,399110,SOL 미국S&P500ESG,S&P500 Scored&Screened(PR),주식,미국,대표지수,S&P 500 시장대표,미국 S&P500,S&P500,passive,plain,neutral,1X,unhedged,physical_or_unspecified,broad,PG-주식-미국-대표지수-S-P500-미국-S-P500-S-P500-P-c2eb6d3f91,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/미국 S&P500),가능,
KR7399580000,399580,RISE 글로벌클린에너지,S&P Global Clean Energy Transition Index (Price Return),주식,미국,산업·섹터,글로벌 신재생에너지,미국 에너지·신재생에너지,에너지-신재생에너지-미국-에너지-신재생에너지-ea46e1131c,passive,plain,neutral,1X,unhedged,physical_or_unspecified,unknown,PG-주식-미국-산업-섹터-에너지-신재생에너지-미국-에너지-신재생에너지-2dd652bc89,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/미국 에너지·신재생에너지),가능,
KR7400570008,400570,KODEX 유럽탄소배출권선물ICE(H),ICE EUA Carbon Futures Index(Excess Return),주식,유럽,기타특수구조,미확인 주식전략,유럽 미확인 주식전략,미확인-주식전략-유럽-미확인-주식전략-fda82dbade,passive,plain,neutral,1X,hedged,physical_or_unspecified,unknown,PG-PENDING-400570-80ec5ef762,,classified_derived,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/유럽 미확인 주식전략),불가,직접 비교에 필요한 주식 전략·투자대상 미확인; 세부 투자대상 또는 만기·구성비율 미확인
KR7400580007,400580,SOL 유럽탄소배출권선물S&P(H),S&P GSCI Carbon Emission Allowances(EUA)(EUR)ER,주식,미국,기타특수구조,미확인 주식전략,미국 미확인 주식전략,미확인-주식전략-미국-미확인-주식전략-bf6afc4d9f,passive,plain,neutral,1X,hedged,physical_or_unspecified,unknown,PG-PENDING-400580-b79ac1439a,,classified_derived,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/미국 미확인 주식전략),불가,직접 비교에 필요한 주식 전략·투자대상 미확인; 세부 투자대상 또는 만기·구성비율 미확인
KR7400590006,400590,SOL 글로벌탄소배출권선물ICE(합성),ICE Global Carbon Futures Index(Excess Return),주식,글로벌,기타특수구조,미확인 주식전략,글로벌 미확인 주식전략,미확인-주식전략-글로벌-미확인-주식전략-d0f070a455,passive,plain,neutral,1X,unhedged,synthetic,unknown,PG-PENDING-400590-bc85545d20,,classified_derived,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/글로벌 미확인 주식전략),가능,직접 비교에 필요한 주식 전략·투자대상 미확인; 세부 투자대상 또는 만기·구성비율 미확인
KR7400970000,400970,TIGER Fn메타버스,FnGuide 메타버스테마 지수,주식,국내,단일·소수종목,단일종목,국내 단일종목,단일종목-국내-단일종목-d786075d21,passive,plain,neutral,1X,unhedged_or_not_applicable,physical_or_unspecified,single,PG-주식-국내-단일-소수종목-단일종목-국내-단일종목-단일종목-국내-단-962bdbee44,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 단일종목),https://www.tigeretf.com/upload/etf/20241108081855002033.pdf,
KR7401170006,401170,RISE 메타버스,iSelect 메타버스 지수(시장가격지수),주식,국내,단일·소수종목,단일종목,국내 단일종목,단일종목-국내-단일종목-d786075d21,passive,plain,neutral,1X,unhedged_or_not_applicable,physical_or_unspecified,single,PG-주식-국내-단일-소수종목-단일종목-국내-단일종목-단일종목-국내-단-962bdbee44,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 단일종목),https://www.riseetf.co.kr/prod/finderDetail/44C2,
KR7401470000,401470,KODEX 메타버스액티브,FnGuide K-메타버스 지수,주식,국내,단일·소수종목,단일종목,국내 단일종목,단일종목-국내-단일종목-d786075d21,active,plain,neutral,1X,unhedged_or_not_applicable,active,single,PG-주식-국내-단일-소수종목-단일종목-국내-단일종목-단일종목-국내-단-962bdbee44,,verified_official,기초지수 명시; 운용사·공식 출처 URL 존재; 자산군·투자대상 추출(주식/국내 단일종목),가능,
